CustomerID,Lookalikes
C0001,"[('C0184', 0.7923), ('C0152', 0.7181), ('C0118', 0.7045)]"
C0002,"[('C0159', 0.8918), ('C0134', 0.8037), ('C0038', 0.7943)]"
C0003,"[('C0052', 0.9864), ('C0095', 0.6803), ('C0110', 0.6577)]"
C0004,"[('C0113', 0.9676), ('C0104', 0.9006), ('C0108', 0.8713)]"
C0005,"[('C0007', 0.8376), ('C0140', 0.7651), ('C0159', 0.7646)]"
C0006,"[('C0187', 0.9012), ('C0171', 0.8133), ('C0185', 0.761)]"
C0007,"[('C0005', 0.8376), ('C0140', 0.7911), ('C0120', 0.7599)]"
C0008,"[('C0098', 0.8917), ('C0156', 0.8216), ('C0109', 0.8051)]"
C0009,"[('C0010', 0.8939), ('C0077', 0.8582), ('C0121', 0.8434)]"
C0010,"[('C0009', 0.8939), ('C0198', 0.8818), ('C0029', 0.771)]"
C0011,"[('C0169', 0.9078), ('C0174', 0.8972), ('C0118', 0.8453)]"
C0012,"[('C0195', 0.9278), ('C0039', 0.897), ('C0065', 0.7917)]"
C0013,"[('C0143', 0.8198), ('C0087', 0.8086), ('C0099', 0.8069)]"
C0014,"[('C0097', 0.9259), ('C0058', 0.9136), ('C0128', 0.8813)]"
C0015,"[('C0033', 0.7622), ('C0095', 0.7586), ('C0123', 0.746)]"
C0016,"[('C0117', 0.6812), ('C0024', 0.6314), ('C0048', 0.6227)]"
C0017,"[('C0075', 0.9348), ('C0041', 0.8185), ('C0057', 0.8127)]"
C0018,"[('C0026', 0.8577), ('C0117', 0.8257), ('C0114', 0.8009)]"
C0019,"[('C0119', 0.8627), ('C0121', 0.8401), ('C0147', 0.7148)]"
C0020,"[('C0110', 0.916), ('C0080', 0.8914), ('C0144', 0.8876)]"
